#                   T = 2.00                    
#          r [Å]            g(r)           Δg(r)
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.50000000E-01  0.00000000E+00  0.00000000E+00
  5.00000000E-01  0.00000000E+00  0.00000000E+00
  7.50000000E-01  0.00000000E+00  0.00000000E+00
  1.00000000E+00  0.00000000E+00  0.00000000E+00
  1.25000000E+00  0.00000000E+00  0.00000000E+00
  1.50000000E+00  0.00000000E+00  0.00000000E+00
  1.75000000E+00  0.00000000E+00  0.00000000E+00
  2.00000000E+00  3.32121600E-04  5.59628825E-06
  2.25000000E+00  7.99599232E-02  1.04878456E-04
  2.50000000E+00  4.84207565E-01  3.25064106E-04
  2.75000000E+00  1.03415060E+00  4.92931606E-04
  3.00000000E+00  1.51551359E+00  4.49001993E-04
  3.25000000E+00  1.83469716E+00  4.99837316E-04
  3.50000000E+00  1.95708347E+00  4.53998905E-04
  3.75000000E+00  1.90029194E+00  5.35028769E-04
  4.00000000E+00  1.71041582E+00  5.08392989E-04
  4.25000000E+00  1.44746781E+00  5.18121902E-04
  4.50000000E+00  1.16078490E+00  4.22413949E-04
  4.75000000E+00  8.88844851E-01  3.54712446E-04
  5.00000000E+00  6.54177843E-01  2.87792671E-04
  5.25000000E+00  4.74254554E-01  2.43548808E-04
  5.50000000E+00  3.61326323E-01  2.62051536E-04
  5.75000000E+00  3.32127014E-01  3.33416584E-04
  6.00000000E+00  3.96632410E-01  4.38762798E-04
  6.25000000E+00  5.52464038E-01  4.57096432E-04
  6.50000000E+00  7.78870656E-01  5.26005336E-04
  6.75000000E+00  1.03655532E+00  5.19360610E-04
  7.00000000E+00  1.27914956E+00  4.74066915E-04
  7.25000000E+00  1.46477486E+00  4.61723643E-04
  7.50000000E+00  1.56555757E+00  5.28473777E-04
  7.75000000E+00  1.57082426E+00  6.47959299E-04
  8.00000000E+00  1.48729652E+00  6.52615807E-04
  8.25000000E+00  1.33791905E+00  6.71858939E-04
  8.50000000E+00  1.14885128E+00  6.24928887E-04
  8.75000000E+00  9.50219802E-01  5.03422987E-04
  9.00000000E+00  7.67188493E-01  4.45949665E-04
  9.25000000E+00  6.24208256E-01  3.74472734E-04
  9.50000000E+00  5.38541504E-01  4.08067436E-04
  9.75000000E+00  5.21145562E-01  5.53986838E-04
  1.00000000E+01  5.74156582E-01  6.59636622E-04
  1.02500000E+01  6.91520896E-01  7.05710074E-04
  1.05000000E+01  8.54222797E-01  6.90232917E-04
  1.07500000E+01  1.03420558E+00  6.13823470E-04
  1.10000000E+01  1.20440786E+00  5.42452168E-04
  1.12500000E+01  1.33611425E+00  5.25665279E-04
  1.15000000E+01  1.40975863E+00  6.34530525E-04
  1.17500000E+01  1.41699055E+00  7.38807635E-04
  1.20000000E+01  1.36115533E+00  8.06394827E-04
  1.22500000E+01  1.25208159E+00  8.36097321E-04
  1.25000000E+01  1.11181609E+00  7.15644339E-04
  1.27500000E+01  9.60378125E-01  5.74883247E-04
  1.30000000E+01  8.20267610E-01  4.74530455E-04
  1.32500000E+01  7.10529651E-01  4.44926988E-04
  1.35000000E+01  6.46489011E-01  5.55874258E-04
  1.37500000E+01  6.37322112E-01  7.02475577E-04
  1.40000000E+01  6.81699507E-01  8.44691453E-04
  1.42500000E+01  7.72934720E-01  8.92486651E-04
  1.45000000E+01  8.97643162E-01  8.34139607E-04
  1.47500000E+01  1.03396266E+00  6.98029667E-04
  1.50000000E+01  1.16051594E+00  5.50837570E-04
  1.52500000E+01  1.25889623E+00  5.61858683E-04
  1.55000000E+01  1.31429050E+00  7.14970455E-04
  1.57500000E+01  1.31943336E+00  8.65331874E-04
  1.60000000E+01  1.27533381E+00  1.03156109E-03
  1.62500000E+01  1.19175555E+00  9.56641755E-04
  1.65000000E+01  1.08335974E+00  8.56454196E-04
  1.67500000E+01  9.64995328E-01  6.60605867E-04
