#                   T = 2.00                    
#          r [Å]            g(r)           Δg(r)
  2.82500000E+01  1.05571126E+00  7.84405941E-04
  2.85000000E+01  1.00767731E+00  7.51357858E-04
  2.87500000E+01  9.58837946E-01  6.59106085E-04
  2.90000000E+01  9.17636333E-01  5.35312297E-04
  2.92500000E+01  8.91324288E-01  5.67087556E-04
  2.95000000E+01  8.81113357E-01  6.55456394E-04
  2.97500000E+01  8.89799014E-01  7.58704950E-04
  3.00000000E+01  9.14642054E-01  8.53914659E-04
  3.02500000E+01  9.52062867E-01  7.76140792E-04
  3.05000000E+01  9.94526355E-01  6.91470861E-04
  3.07500000E+01  1.03769135E+00  6.08300998E-04
  3.10000000E+01  1.07295615E+00  5.69909310E-04
  3.12500000E+01  1.09553404E+00  6.06052350E-04
  3.15000000E+01  1.10426422E+00  6.78667903E-04
  3.17500000E+01  1.09621524E+00  7.16654429E-04
  3.20000000E+01  1.07383816E+00  8.53462125E-04
  3.22500000E+01  1.04039093E+00  7.86981932E-04
  3.25000000E+01  1.00237368E+00  7.33928382E-04
  3.27500000E+01  9.64548614E-01  6.91097974E-04
  3.30000000E+01  9.33736454E-01  5.63092959E-04
  3.32500000E+01  9.14022899E-01  6.06817628E-04
  3.35000000E+01  9.07182278E-01  6.79933914E-04
  3.37500000E+01  9.14783405E-01  7.73704031E-04
  3.40000000E+01  9.35452250E-01  8.19406619E-04
  3.42500000E+01  9.64335104E-01  8.31792484E-04
  3.45000000E+01  9.98350874E-01  7.73197673E-04
  3.47500000E+01  1.03163233E+00  6.11614851E-04
  3.50000000E+01  1.05866676E+00  6.06928663E-04
  3.52500000E+01  1.07609851E+00  6.37060991E-04
  3.55000000E+01  1.08157181E+00  6.86202657E-04
  3.57500000E+01  1.07450755E+00  7.89543361E-04
  3.60000000E+01  1.05670726E+00  8.61263390E-04
  3.62500000E+01  1.03014826E+00  8.27795303E-04
  3.65000000E+01  9.99741197E-01  7.42347431E-04
  3.67500000E+01  9.70062323E-01  6.39258993E-04
  3.70000000E+01  9.46204941E-01  5.98280395E-04
  3.72500000E+01  9.31133869E-01  6.25772927E-04
  3.75000000E+01  9.26524480E-01  6.98316032E-04
  3.77500000E+01  9.33273798E-01  7.83651856E-04
  3.80000000E+01  9.50107552E-01  8.13715941E-04
  3.82500000E+01  9.73197440E-01  8.40854460E-04
  3.85000000E+01  1.00012648E+00  7.63166314E-04
  3.87500000E+01  1.02603587E+00  6.51371262E-04
  3.90000000E+01  1.04748175E+00  6.20422495E-04
  3.92500000E+01  1.06113055E+00  6.51270572E-04
  3.95000000E+01  1.06512730E+00  7.09511979E-04
  3.97500000E+01  1.05895286E+00  8.92235207E-04
  4.00000000E+01  1.04362593E+00  8.66311099E-04
  4.02500000E+01  1.02262906E+00  9.16325593E-04
  4.05000000E+01  9.98546771E-01  7.61249413E-04
  4.07500000E+01  9.75246112E-01  6.35817263E-04
  4.10000000E+01  9.56689978E-01  6.20147019E-04
  4.12500000E+01  9.44723066E-01  6.45212381E-04
  4.15000000E+01  9.41134029E-01  7.76419383E-04
  4.17500000E+01  9.46933920E-01  8.01193643E-04
  4.20000000E+01  9.60481613E-01  8.99898850E-04
  4.22500000E+01  9.79232390E-01  9.04229510E-04
  4.25000000E+01  1.00053587E+00  7.98544046E-04
  4.27500000E+01  1.02159521E+00  6.53043911E-04
  4.30000000E+01  1.03854347E+00  6.33482645E-04
  4.32500000E+01  1.04896584E+00  6.61670097E-04
  4.35000000E+01  1.05164200E+00  7.58685829E-04
  4.37500000E+01  1.04708792E+00  8.75957694E-04
  4.40000000E+01  1.03514468E+00  9.13783092E-04
  4.42500000E+01  1.01756651E+00  8.67088715E-04
  4.45000000E+01  9.98632134E-01  7.72541704E-04
  4.47500000E+01  9.79976218E-01  6.52113013E-04
  4.50000000E+01  9.65074099E-01  6.35958982E-04
  4.52500000E+01  9.54839200E-01  6.54953602E-04
