#                   T = 2.00                    
#          r [Å]            g(r)           Δg(r)
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  2.50000000E-01  0.00000000E+00  0.00000000E+00
  5.00000000E-01  0.00000000E+00  0.00000000E+00
  7.50000000E-01  0.00000000E+00  0.00000000E+00
  1.00000000E+00  0.00000000E+00  0.00000000E+00
  1.25000000E+00  0.00000000E+00  0.00000000E+00
  1.50000000E+00  0.00000000E+00  0.00000000E+00
  1.75000000E+00  0.00000000E+00  0.00000000E+00
  2.00000000E+00  3.48818910E-04  5.91187362E-06
  2.25000000E+00  8.04618248E-02  1.16699597E-04
  2.50000000E+00  4.89732533E-01  4.10793051E-04
  2.75000000E+00  1.04367415E+00  6.41781641E-04
  3.00000000E+00  1.52545088E+00  7.68341192E-04
  3.25000000E+00  1.84028776E+00  7.33773854E-04
  3.50000000E+00  1.95660462E+00  6.43288908E-04
  3.75000000E+00  1.89193338E+00  5.51704937E-04
  4.00000000E+00  1.69781701E+00  5.36684002E-04
  4.25000000E+00  1.43173417E+00  6.19899040E-04
  4.50000000E+00  1.14587882E+00  7.75957330E-04
  4.75000000E+00  8.77230378E-01  8.10689963E-04
  5.00000000E+00  6.47741873E-01  6.99846493E-04
  5.25000000E+00  4.72288303E-01  6.08121173E-04
  5.50000000E+00  3.64910264E-01  4.90760296E-04
  5.75000000E+00  3.42241513E-01  3.48204405E-04
  6.00000000E+00  4.12673291E-01  3.67504786E-04
  6.25000000E+00  5.74261542E-01  6.05741090E-04
  6.50000000E+00  8.03409599E-01  8.18823694E-04
  6.75000000E+00  1.05831067E+00  9.99188522E-04
  7.00000000E+00  1.29476583E+00  1.00527262E-03
  7.25000000E+00  1.46866889E+00  9.18898116E-04
  7.50000000E+00  1.55616290E+00  7.27424019E-04
  7.75000000E+00  1.54870723E+00  6.84367664E-04
  8.00000000E+00  1.45642126E+00  7.27931284E-04
  8.25000000E+00  1.30386733E+00  9.69350440E-04
  8.50000000E+00  1.11762250E+00  1.02795242E-03
  8.75000000E+00  9.26147553E-01  1.02723920E-03
  9.00000000E+00  7.54879432E-01  9.82053936E-04
  9.25000000E+00  6.24246834E-01  8.40719790E-04
  9.50000000E+00  5.52051549E-01  6.65207669E-04
  9.75000000E+00  5.47464723E-01  5.82795107E-04
  1.00000000E+01  6.10515866E-01  7.25317209E-04
  1.02500000E+01  7.33212937E-01  8.71361030E-04
  1.05000000E+01  8.93884581E-01  1.07282928E-03
  1.07500000E+01  1.06652371E+00  1.17585514E-03
  1.10000000E+01  1.22106331E+00  1.15103100E-03
  1.12500000E+01  1.33379601E+00  1.01462737E-03
  1.15000000E+01  1.38778287E+00  8.49434094E-04
  1.17500000E+01  1.37938375E+00  8.33555411E-04
  1.20000000E+01  1.31260347E+00  9.91831338E-04
  1.22500000E+01  1.20256089E+00  1.04501168E-03
  1.25000000E+01  1.06768653E+00  1.17968850E-03
  1.27500000E+01  9.28375018E-01  1.21842647E-03
  1.30000000E+01  8.06062769E-01  1.11810801E-03
  1.32500000E+01  7.16636483E-01  9.68757168E-04
  1.35000000E+01  6.72104273E-01  8.03241487E-04
  1.37500000E+01  6.79172556E-01  7.50008030E-04
  1.40000000E+01  7.34666007E-01  8.81762487E-04
  1.42500000E+01  8.30152886E-01  1.12603205E-03
  1.45000000E+01  9.48986141E-01  1.25288591E-03
  1.47500000E+01  1.07018476E+00  1.31019085E-03
  1.50000000E+01  1.17581053E+00  1.22432138E-03
  1.52500000E+01  1.24963076E+00  1.06100168E-03
  1.55000000E+01  1.28127414E+00  9.18088625E-04
  1.57500000E+01  1.26746930E+00  9.14907362E-04
  1.60000000E+01  1.21395720E+00  1.04392261E-03
  1.62500000E+01  1.13019787E+00  1.21254066E-03
  1.65000000E+01  1.02996237E+00  1.29456221E-03
  1.67500000E+01  9.28856236E-01  1.29999681E-03
