#                   T = 2.00                    
#          r [Å]            g(r)           Δg(r)
  2.82500000E+01  1.02230092E+00  6.90094025E-04
  2.85000000E+01  9.82076794E-01  7.22620975E-04
  2.87500000E+01  9.45478404E-01  7.41152095E-04
  2.90000000E+01  9.18618273E-01  6.93946711E-04
  2.92500000E+01  9.05513135E-01  6.25083157E-04
  2.95000000E+01  9.07570252E-01  6.29056327E-04
  2.97500000E+01  9.23633927E-01  6.58941589E-04
  3.00000000E+01  9.50613870E-01  6.60396818E-04
  3.02500000E+01  9.84235017E-01  6.95689673E-04
  3.05000000E+01  1.01880294E+00  7.54449635E-04
  3.07500000E+01  1.04943867E+00  7.10725160E-04
  3.10000000E+01  1.07076677E+00  7.34384585E-04
  3.12500000E+01  1.08019862E+00  6.35352193E-04
  3.15000000E+01  1.07718881E+00  6.46023464E-04
  3.17500000E+01  1.06241277E+00  6.61821886E-04
  3.20000000E+01  1.03856029E+00  6.83486027E-04
  3.22500000E+01  1.00929811E+00  7.37493547E-04
  3.25000000E+01  9.79675201E-01  7.41813567E-04
  3.27500000E+01  9.54501393E-01  7.35969114E-04
  3.30000000E+01  9.37220779E-01  7.15780191E-04
  3.32500000E+01  9.30205707E-01  6.33989565E-04
  3.35000000E+01  9.34523178E-01  6.53360052E-04
  3.37500000E+01  9.48203354E-01  6.67611247E-04
  3.40000000E+01  9.69578628E-01  6.77578592E-04
  3.42500000E+01  9.94416621E-01  7.09583387E-04
  3.45000000E+01  1.01931228E+00  7.68928950E-04
  3.47500000E+01  1.04007137E+00  7.35787272E-04
  3.50000000E+01  1.05420759E+00  6.76700055E-04
  3.52500000E+01  1.05892643E+00  6.48722281E-04
  3.55000000E+01  1.05449550E+00  6.59455438E-04
  3.57500000E+01  1.04171161E+00  6.90173616E-04
  3.60000000E+01  1.02282165E+00  6.89806811E-04
  3.62500000E+01  1.00157425E+00  7.36969094E-04
  3.65000000E+01  9.80164497E-01  7.53712023E-04
  3.67500000E+01  9.63056743E-01  7.29007195E-04
  3.70000000E+01  9.52312246E-01  7.02227892E-04
  3.72500000E+01  9.49116229E-01  6.45988233E-04
  3.75000000E+01  9.53619172E-01  6.73851163E-04
  3.77500000E+01  9.65562180E-01  6.81999945E-04
  3.80000000E+01  9.81859217E-01  7.27266047E-04
  3.82500000E+01  1.00041089E+00  7.83812202E-04
  3.85000000E+01  1.01783327E+00  7.88704002E-04
  3.87500000E+01  1.03205988E+00  7.47612464E-04
  3.90000000E+01  1.04099975E+00  6.56221788E-04
  3.92500000E+01  1.04282845E+00  6.61976869E-04
